"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","85 years and over","Number","0","0","3125","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","E00-E90 Endocrine, nutritional and metabolic diseases","65 years and over","Number","270","250","234","216","201","189"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","F00-F99 Mental and behavioural disorders","65 years and over","Number","270","0","234","0","201","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","64 years and under","Number","0","0","0","0","7","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","G00-G99 Diseases of the nervous system","65 years and over","Number","0","250","0","216","201","189"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H00-H59 Diseases of the eye and adnexa","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Other including mixed background","H60-H95 Diseases of the ear and mastoid process","80 - 84 years","Number","0","0","0","0","0","0"
